RAL,RGB,HEX,CMYK,LRV,Inglese,Tedesco,Francese,Spagnolo,Italiano,Olandese
RAL 1000,205-186-136,#CDBA88,0-9-34-20,51.79,Beige verde,Grünbeige,Beige verde,Beige verdoso,Beige verdastro,Groenbeige
RAL 1001,208-176-132,#D0B084,0-15-37-18,48.09,Beige,Beige,Beige,Beige,Beige,Beige
RAL 1002,210-170-109,#D2AA6D,0-19-48-18,45.07,Giallo sabbia,Sandgelb,Jaune sable,Amarillo arena,Giallo sabbia,Zandgeel
RAL 1003,249-169-0,#F9A900,0-32-100-2,49.05,Giallo segnale,Signalgelb,Jaune de sécurité,Amarillo señales,Giallo segnale,Signaalgeel
RAL 1004,228-158-0,#E49E00,0-31-100-11,42.13,Giallo dorato,Goldgelb,Jaune o,Amarillo oro,Giallo oro,Goudgeel
RAL 1005,203-143-0,#CB8F00,0-30-100-20,34.15,Giallo miele,Honiggelb,Jaune miel,Amarillo miel,Giallo miele,Honinggeel
RAL 1006,225-144-0,#E19000,0-36-100-12,37.45,Giallo mais,Maisgelb,Jaune mais,Amarillo maíz,Giallo polenta,Maisgeel
RAL 1007,232-140-0,#E88C00,0-40-100-9,37.63,Giallo narciso,Narzissengelb,Jaune narcisse,Amarillo narciso,Giallo narciso,Narcissengeel
RAL 1011,175-128-80,#AF8050,0-27-54-31,27.65,Beige marrone,Beige marrone,Beige bruno,Beige pardo,Beige marrone,Beige bruno
RAL 1012,221-175-40,#DDAF28,0-21-82-13,47.83,Giallo limone,Zitronengelb,Citron giallo,Amarillo limón,Giallo limone,Citroengeel
RAL 1013,227-217-199,#E3D9C7,0-4-12-11,70.76,Bianco ostrica,Perlweiß,Blanc perlé,Blanco perla,Bianco perla,Parelwit
RAL 1014,221-196-155,#DDC49B,0-11-30-13,58.34,Avorio,Elfenbein,Avorio,Marfil,Avorio,Ivoorkleurig
RAL 1015,230-210-181,#E6D2B5,0-9-21-10,67.55,Avorio chiaro,Hellelfenbein,Ivoire clair,Marfil claro,Avorio chiaro,Licht ivoorkleurig
RAL 1016,241-221-57,#F1DD39,0-8-76-5,71.30,Giallo zolfo,Schwefelgelb,Jaune soufre,Amarillo azufre,Giallo zolfo,Zwavelgeel
RAL 1017,246-169-81,#F6A951,0-31-67-4,49.80,Giallo zafferano,Safrangelb,Jaune safran,Amarillo azafrán,Giallo zafferano,Saffraangeel
RAL 1018,250-202-49,#FACA31,0-19-80-2,63.81, Giallo zinco, Zinkgelb, Zinco giallo, Amarillo de zinco, Giallo zinco, Zinkgeel
RAL 1019,164-143-122,#A48F7A,0-13-26-36,30.53,Grigio beige,Graubeige,Beige gris,Beige agrisado,Beige grigiastro,Grijsbeige
RAL 1020,160-143-101,#A08F65,0-11-37-37,29.44,Giallo olivastro,Olivgelb,Oliva Jaune,Amarillo oliva,Giallo olivastro,Olijfgeel
RAL 1021,246-182-0,#F6B600,0-26-100-4,53.97,Giallo colza,Rapsgelb,Colza gialla,Amarillo colza,Giallo navone,Koolzaadgeel
RAL 1023,247-181-0,#F7B500,0-27-100-3,54.24,Giallo traffico,Verkehrsgelb,Jaune signalisation,Amarillo tráfico,Giallo traffico,Verkeersgeel
RAL 1024,186-143-76,#BA8F4C,0-23-59-27,32.74,Giallo ocra,Ockergelb,Jaune ocre,Amarillo ocre,Giallo ocra,Okergeel
RAL 1026,255-255-0,#FFFF00,0-0-100-0,88.65,Giallo luminoso,Leuchtgelb,Jaune brillant,Amarillo brillante,Giallo brillante,Briljantgeel
RAL 1027,167-127-15,#A77F0F,0-24-91-35,25.72,Curry,Currygelb,Jaune curry,Amarillo curry,Giallo curry,Kerriegeel
RAL 1028,255-156-0,#FF9C00,0-39-100-0,47.55,Giallo melone,Melonengelb,Melone giallo,Amarillo melón,Giallo melone,Meloengeel
RAL 1032,226-163-0,#E2A300,0-28-100-11,43.37,Giallo ginestra,Ginstergelb,Jaune genêt,Amarillo retama,Giallo scopa,Bremgeel
RAL 1033,249-154-29,#F99A1D,0-38-88-2,44.66,Giallo dalia,Dahliengelb,Jaune dalia,Amarillo dalia,Giallo dalia,Dahliageel
RAL 1034,235-156-82,#EB9C52,0-34-65-8,43.82,Giallo pastello,Pastellgelb,Jaune pastello,Amarillo pastello,Giallo pastello,Pastelgeel
RAL 1035,143-131-112,#8F8370,0-8-22-44,34.58,Beige perla,Beige perlato,Beige madreperla,Beige perlato,Beige perlato,Parelmoergrijs
RAL 1036,128-100-64,#806440,0-22-50-50,28.30,Oro perlato,Perlgold,O madreperla,Oro perlado,Oro perlato,Parelmoergoud
